번호,관리기관,버스정류장명,경도,위도,버스정류장 외국어 음성안내 정보시스템 설치여부,관리기관명,데이터기준일자
326,경기도 양주시,일영역,126.9306663,37.69870093,N,양주시 대중교통과,2023-08-23
327,경기도 양주시,일영역,126.9312772,37.7001969,N,양주시 대중교통과,2023-08-23
328,경기도 양주시,자이아파트입구사거리,127.100831,37.797263,N,양주시 대중교통과,2023-08-23
329,경기도 양주시,자이아파트입구사거리,127.100557,37.797492,N,양주시 대중교통과,2023-08-23
330,경기도 양주시,장거리한양수자인1단지,127.0826616,37.80324604,N,양주시 대중교통과,2023-08-23
331,경기도 양주시,장거리한양수자인1단지,127.082427,37.80353311,N,양주시 대중교통과,2023-08-23
332,경기도 양주시,장흥,126.9397683,37.71623886,N,양주시 대중교통과,2023-08-23
333,경기도 양주시,장흥,126.9404261,37.71630227,N,양주시 대중교통과,2023-08-23
334,경기도 양주시,장흥고가밑,126.9374717,37.71472488,N,양주시 대중교통과,2023-08-23
335,경기도 양주시,장흥고가밑,126.937513,37.71434563,N,양주시 대중교통과,2023-08-23
336,경기도 양주시,장흥교회,126.9329835,37.70670289,N,양주시 대중교통과,2023-08-23
337,경기도 양주시,장흥교회,126.9328132,37.70687398,N,양주시 대중교통과,2023-08-23
338,경기도 양주시,재궁마을.천생연분마을,126.9270659,37.69337399,N,양주시 대중교통과,2023-08-23
339,경기도 양주시,정자동다리.일영유원지,126.9298638,37.6960516,N,양주시 대중교통과,2023-08-23
340,경기도 양주시,정자동다리.일영유원지,126.9301134,37.69595265,N,양주시 대중교통과,2023-08-23
341,경기도 양주시,조광주유소,127.976878,37.806258,N,양주시 대중교통과,2023-08-23
342,경기도 양주시,조광주유소,126.976687,37.806314,N,양주시 대중교통과,2023-08-23
343,경기도 양주시,조양중학교,126.9799334,37.81858382,N,양주시 대중교통과,2023-08-23
344,경기도 양주시,조양중학교,126.9799447,37.81879104,N,양주시 대중교통과,2023-08-23
345,경기도 양주시,주공6단지,127.0750834,37.83597978,N,양주시 대중교통과,2023-08-23
346,경기도 양주시,주공6단지,127.0748922,37.83617454,N,양주시 대중교통과,2023-08-23
347,경기도 양주시,주공7단지.중흥s클래스,127.0750435,37.83417629,N,양주시 대중교통과,2023-08-23
348,경기도 양주시,주공7단지.중흥s클래스,127.074907,37.83401421,N,양주시 대중교통과,2023-08-23
349,경기도 양주시,주공8단지,127.0748165,37.83324346,N,양주시 대중교통과,2023-08-23
350,경기도 양주시,주공8단지,127.0750037,37.83312656,N,양주시 대중교통과,2023-08-23
351,경기도 양주시,주내파출소.주내교회,127.0539594,37.77846996,N,양주시 대중교통과,2023-08-23
352,경기도 양주시,주내파출소.주내교회,127.0537483,37.77851519,N,양주시 대중교통과,2023-08-23
353,경기도 양주시,중앙상회,126.9654699,37.84541031,N,양주시 대중교통과,2023-08-23
354,경기도 양주시,지에스제이드웰21단지,127.104116,37.812617,N,양주시 대중교통과,2023-08-23
355,경기도 양주시,지에스제이드웰21단지,127.103204,37.814016,N,양주시 대중교통과,2023-08-23
356,경기도 양주시,진웅산업,126.989462,37.813446,N,양주시 대중교통과,2023-08-23
357,경기도 양주시,천보초등학교,127.092872,37.834705,N,양주시 대중교통과,2023-08-23
358,경기도 양주시,천보초등학교,127.092658,37.834875,N,양주시 대중교통과,2023-08-23
359,경기도 양주시,철풍아파트,127.0445743,37.84939033,N,양주시 대중교통과,2023-08-23
360,경기도 양주시,철풍아파트,127.0456847,37.84918486,N,양주시 대중교통과,2023-08-23
361,경기도 양주시,탑동,127.0553375,37.83841239,N,양주시 대중교통과,2023-08-23
362,경기도 양주시,탑동,127.0555534,37.83839427,N,양주시 대중교통과,2023-08-23
363,경기도 양주시,토교장,126.977583,37.89093,N,양주시 대중교통과,2023-08-23
364,경기도 양주시,푸르지오9단지.e편한세상11단지,127.091837,37.823466,N,양주시 대중교통과,2023-08-23
365,경기도 양주시,푸르지오아파트,127.055284,37.81167225,N,양주시 대중교통과,2023-08-23
366,경기도 양주시,푸르지오아파트,127.055043,37.811501,N,양주시 대중교통과,2023-08-23
367,경기도 양주시,푸른마을아파트,126.9747788,37.71965765,N,양주시 대중교통과,2023-08-23
368,경기도 양주시,푸른옥마을,126.945218,37.720568,N,양주시 대중교통과,2023-08-23
369,경기도 양주시,하나로마트,126.9835091,37.82609834,N,양주시 대중교통과,2023-08-23
370,경기도 양주시,하나로마트,126.9839281,37.82596389,N,양주시 대중교통과,2023-08-23
371,경기도 양주시,하패1리복지회관,127.036379,37.888081,N,양주시 대중교통과,2023-08-23
